ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600036.SH,20250703,46.9,46.95,46.34,46.61,46.9,-0.29,-0.6183,556225.76,2595710.465
600036.SH,20250704,46.6,47.5,46.4,47.07,46.61,0.46,0.9869,678948.32,3190053.518
600036.SH,20250707,47.07,47.3,46.7,47.2,47.07,0.13,0.2762,567427.42,2672021.321
600036.SH,20250708,47.28,47.67,47.1,47.62,47.2,0.42,0.8898,637421.01,3025850.416
600036.SH,20250709,47.5,47.77,47.13,47.13,47.62,-0.49,-1.029,614566.35,2912999.773
600036.SH,20250710,47.1,48.55,47.1,48.24,47.13,1.11,2.3552,1219784.04,5860161.557
600036.SH,20250711,46.28,46.5,45.62,45.64,46.24,-0.6,-1.2976,1184442.84,5446393.735
600036.SH,20250714,45.65,46.09,45.44,45.57,45.64,-0.07,-0.1534,648484.37,2969040.141
600036.SH,20250715,45.77,45.92,44.8,45.22,45.57,-0.35,-0.768,666206.26,3018332.344
600036.SH,20250716,45.26,45.54,44.88,45.11,45.22,-0.11,-0.2433,468186.39,2112241.748
600036.SH,20250717,45.1,45.33,44.91,45.0,45.11,-0.11,-0.2438,416895.06,1877218.807
600036.SH,20250718,45.05,45.16,44.74,45.05,45.0,0.05,0.1111,543430.57,2445283.609
600036.SH,20250721,45.05,45.23,44.83,44.85,45.05,-0.2,-0.444,566412.01,2546034.189
600036.SH,20250722,44.85,44.98,44.21,44.94,44.85,0.09,0.2007,922319.06,4111116.85
600036.SH,20250723,44.97,45.7,44.96,45.12,44.94,0.18,0.4005,853249.05,3864679.805
600036.SH,20250724,45.21,45.36,44.8,44.88,45.12,-0.24,-0.5319,826620.13,3724435.789
600036.SH,20250725,44.84,45.17,44.75,44.83,44.88,-0.05,-0.1114,696264.23,3129427.563
600036.SH,20250728,44.8,45.16,44.41,44.44,44.83,-0.39,-0.87,635127.2,2838575.467
600036.SH,20250729,44.44,44.8,44.14,44.14,44.44,-0.3,-0.6751,785812.82,3487013.44
600036.SH,20250730,44.17,44.75,43.93,44.42,44.14,0.28,0.6343,725460.85,3222441.776
600036.SH,20250731,44.4,44.56,43.85,44.48,44.42,0.06,0.1351,733195.17,3247588.211
600036.SH,20250801,44.5,44.97,44.35,44.42,44.48,-0.06,-0.1349,594620.94,2651723.323
600036.SH,20250804,44.31,44.97,44.31,44.9,44.42,0.48,1.0806,498008.32,2231447.773
600036.SH,20250805,44.78,45.4,44.64,45.25,44.9,0.35,0.7795,555258.3,2502003.95
600036.SH,20250806,45.29,45.73,45.11,45.12,45.25,-0.13,-0.2873,430296.4,1951697.829
