trade_date,close,position,upper_channel,lower_channel,ATR,buy_signal,sell_signal,stop_loss_signal,entry_price,stop_loss_price,stock_return,strategy_return,strategy_value,buy_hold_value
2025-01-02,38.51,0,,,,0,0,0,,,0.0,0.0,1.0,1.0
2025-01-03,38.66,0,,,,0,0,0,,,0.0038950921838483143,0.0,1.0,1.0038950921838483
2025-01-06,39.05,0,,,,0,0,0,,,0.010087946197620212,0.0,1.0,1.014022331861854
2025-01-07,38.9,0,,,,0,0,0,,,-0.003841229193341844,-0.0,1.0,1.0101272396780057
2025-01-08,39.28,0,,,,0,0,0,,,0.00976863753213375,0.0,1.0,1.019994806543755
2025-01-09,39.0,0,,,,0,0,0,,,-0.007128309572301483,-0.0,1.0,1.0127239678005713
2025-01-10,38.98,0,,,,0,0,0,,,-0.0005128205128206442,-0.0,1.0,1.012204622176058
2025-01-13,39.07,0,,,,0,0,0,,,0.002308876346844624,0.0,1.0,1.0145416774863671
2025-01-14,39.85,0,,,,0,0,0,,,0.019964166879959055,0.0,1.0,1.0347961568423785
2025-01-15,40.64,0,,,,0,0,0,,,0.01982434127979915,0.0,1.0,1.0553103090106464
2025-01-16,40.99,0,,,,0,0,0,,,0.008612204724409489,0.0,1.0,1.064398857439626
2025-01-17,40.71,0,,,,0,0,0,,,-0.006830934374237652,-0.0,1.0,1.0571280186964422
2025-01-20,40.12,0,,,,0,0,0,,,-0.01449275362318847,-0.0,1.0,1.0418073227733053
2025-01-21,40.14,0,,,,0,0,0,,,0.0004985044865404298,0.0,1.0,1.0423266683978185
2025-01-22,39.45,0,,,,0,0,0,,,-0.0171898355754857,-0.0,1.0,1.0244092443521162
2025-01-23,39.83,0,,,,0,0,0,,,0.009632446134347106,0.0,1.0,1.0342768112178653
2025-01-24,40.26,0,,,,0,0,0,,,0.010795882500627574,0.0,1.0,1.045442742144897
2025-01-27,40.65,0,,,,0,0,0,,,0.009687034277198192,0.0,1.0,1.0555699818229027
2025-02-05,40.0,0,,,,0,0,0,,,-0.01599015990159902,-0.0,1.0,1.0386912490262266
2025-02-06,40.2,0,,,0.8089999999999989,0,0,0,,,0.0050000000000001155,0.0,1.0,1.0438847052713578
2025-02-07,40.2,0,41.16,38.13,0.772999999999999,0,0,0,,,0.0,0.0,1.0,1.0438847052713578
2025-02-10,40.6,0,41.16,38.13,0.794499999999999,0,0,0,,,0.00995024875621886,0.0,1.0,1.05427161776162
2025-02-11,40.98,0,41.16,38.13,0.7679999999999989,0,0,0,,,0.009359605911329894,0.0,1.0,1.0641391846273691
2025-02-12,41.62,1,41.16,38.54,0.7959999999999987,1,0,0,41.62,40.028,0.015617374328940947,0.0,1.0,1.0807582446117887
2025-02-13,41.71,1,41.66,38.54,0.7899999999999988,0,0,0,41.62,40.028,0.002162421912542234,0.002162421912542234,1.0021624219125422,1.083095299922098
2025-02-14,42.03,1,41.95,38.54,0.7854999999999986,0,0,0,41.62,40.028,0.0076720210980580905,0.0076720210980580905,1.0098510331571362,1.0914048299143078
2025-02-17,41.72,1,42.03,38.54,0.7869999999999987,0,0,0,41.62,40.028,-0.007375684035213048,-0.007375684035213048,1.0024026910139356,1.0833549727343543
2025-02-18,42.05,1,42.03,38.54,0.8049999999999986,0,0,0,41.62,40.028,0.007909875359539686,0.007909875359539686,1.010331571359923,1.0919241755388205
2025-02-19,41.98,1,42.48,38.9,0.7709999999999987,0,0,0,41.62,40.028,-0.0016646848989299023,-0.0016646848989299023,1.008649687650168,1.0901064658530246
2025-02-20,41.85,1,42.48,39.32,0.7339999999999989,0,0,0,41.62,40.028,-0.0030967127203429534,-0.0030967127203429534,1.0055261893320517,1.0867307192936895
2025-02-21,41.4,1,42.48,39.32,0.7414999999999992,0,0,0,41.62,40.028,-0.010752688172043112,-0.010752688172043112,0.9947140797693415,1.0750454427421443
2025-02-24,41.27,1,42.48,39.32,0.7224999999999995,0,0,0,41.62,40.028,-0.0031400966183573464,-0.0031400966183573464,0.9915905814512253,1.0716696961828092
2025-02-25,41.03,1,42.48,39.32,0.7009999999999994,0,0,0,41.62,40.028,-0.005815362248606792,-0.005815362248606792,0.9858241230177798,1.0654375486886518
